State,"Total
murders","Total
firearms",Handguns,Rifles,Shotguns,"Firearms
(type
unknown)","Knives or
cutting
instruments","Other
weapons","Hands, fists,
feet, etc.1"
Alabama,370,291,145,17,1,128,11,67,1
Alaska,18,10,5,1,1,3,3,1,4
Arizona,190,119,67,5,2,45,21,40,10
Arkansas,321,250,109,15,9,117,27,39,5
California2,123,61,36,0,0,25,16,30,16
Colorado,358,267,193,5,2,67,46,25,20
Connecticut,148,114,47,0,0,67,20,10,4
Delaware,94,73,39,1,2,31,12,5,4
District of Columbia2,109,88,72,4,0,12,16,3,2
Georgia,728,613,386,35,3,189,32,57,26
Hawaii,6,1,1,0,0,0,2,2,1
Idaho,36,26,21,0,1,4,2,7,1
Illinois2,514,459,266,6,0,187,19,27,9
Indiana,438,355,221,18,3,113,34,32,17
Iowa,70,42,24,0,2,16,9,13,6
Kansas,87,60,36,2,2,20,6,18,3
Kentucky,365,313,177,14,1,121,14,30,8
Louisiana,447,332,159,38,9,126,29,74,12
Maine,18,12,8,0,0,4,1,4,1
Maryland2,138,104,76,0,0,28,19,11,4
Massachusetts,132,84,36,0,0,48,28,16,4
Michigan,747,604,241,32,7,324,44,77,22
Minnesota,203,152,76,6,1,69,21,19,11
Mississippi,149,123,66,4,5,48,8,10,8
Missouri,593,509,237,14,5,253,31,45,8
Montana,31,16,12,1,0,3,6,5,4
Nebraska,25,12,6,0,1,5,3,9,1
Nevada,232,162,59,2,5,96,17,43,10
New Hampshire,14,9,6,0,0,3,2,3,0
New Jersey2,137,96,73,0,0,23,16,18,7
New Mexico2,169,125,28,5,4,88,14,22,8
New York2,124,89,8,2,1,78,16,12,7
North Carolina,928,748,398,50,16,284,47,106,27
North Dakota,14,10,5,1,0,4,1,0,3
Ohio,824,660,295,22,2,341,29,113,22
Oklahoma,284,204,126,6,4,68,27,40,13
Oregon,188,125,64,0,2,59,24,28,11
Pennsylvania2,510,439,303,1,1,134,24,35,12
Rhode Island,38,27,8,0,0,19,5,5,1
South Carolina,548,478,254,14,5,205,25,36,9
South Dakota,26,13,10,1,1,1,6,6,1
Tennessee,672,586,232,17,13,324,34,40,12
Texas,"2,064","1,668",818,75,19,756,157,173,66
Utah,85,58,39,4,0,15,4,20,3
Vermont,8,6,3,0,1,2,1,1,0
Virginia,562,446,219,15,7,205,32,71,13
Washington,325,227,133,6,10,78,34,51,13
West Virginia,95,64,32,2,0,30,7,21,3
Wisconsin,315,259,116,6,3,134,25,27,4
Wyoming,17,5,4,0,0,1,3,5,4
"1 Pushed is included in hands, fists, feet, etc.",,,,,,,,,
"2 Limited data for 2021 were available for California, District of Columbia, Illinois, Maryland, New Jersey, New Mexico, New York, and Pennsylvania. ",,,,,,,,,
